upi_id,merchant_name,amount,suspicious_keyword,digit_count,upi_length,handle,brand_impersonation,trap_amount,report_count,is_blacklisted,merchant_age_days,is_fraud
iodwnl@okaxis,Fresh Mart,1286,0,0,13,okaxis,0,0,12,0,295,0
otsaeztifr@paytm,Daily Needs,597,0,0,16,paytm,0,0,4,0,218,0
bssdn@paytm,Quick Recharge,6,0,0,11,paytm,0,0,9,0,900,0
fzamqmzztn@paytm,Green Grocery,3218,0,0,16,paytm,0,0,8,0,612,0
frisl@axl,Paytm Cashback,3315,1,0,9,axl,1,0,12,1,433,1
coyttfv@okaxis,City Bakers,1822,0,0,14,okaxis,0,0,14,0,623,0
pywdvighma@ybl,Flipkart Deals,3352,0,0,14,ybl,1,0,6,0,202,1
wxcoupx442@axl,Flipkart Deals,2600,0,3,14,axl,1,0,0,0,489,0
rhaadvqu312@ibl,Urban Foods,1537,0,3,15,ibl,0,0,10,0,528,0
xgmfbre@axl,Fresh Mart,642,0,0,11,axl,0,0,0,0,161,0
vquywzysd@okaxis,Mega Electronics,1509,0,0,16,okaxis,0,0,5,0,512,0
jadcugbz@paytm,Smart Fashion,1569,0,0,14,paytm,0,0,6,0,366,0
csjspnb@okaxis,Urban Foods,267,0,0,14,okaxis,0,0,0,0,270,0
ooedokoqkp@okicici,Amazon Support,4344,1,0,18,okicici,1,0,4,0,817,1
lklpqwwhha@okaxis,Smart Fashion,2192,0,0,17,okaxis,0,0,8,0,312,0
uwntyz@okaxis,Online Offer,4754,1,0,13,okaxis,0,0,11,1,127,1
pjmxdkvlub@okaxis,Mega Electronics,3742,0,0,17,okaxis,0,0,7,0,704,0
onxeuymg@okicici,Quick Recharge,4358,0,0,16,okicici,0,0,7,0,542,0
dtajcbeaim@okicici,Flipkart Deals,451,0,0,18,okicici,1,0,2,0,790,0
cxenw@ybl,Urban Foods,3165,0,0,9,ybl,0,0,11,0,491,0
exphqtuvr@ibl,Mega Electronics,851,0,0,13,ibl,0,0,8,0,601,0
ipjyr@okaxis,Daily Needs,2412,0,0,12,okaxis,0,0,1,0,252,0
wqifhrju746@okicici,Fresh Mart,1635,0,3,19,okicici,0,0,4,0,138,0
fugvlmc@okaxis,Amazon Support,2449,1,0,14,okaxis,1,0,15,0,226,1
oqkegx@ybl,Flipkart Deals,1234,0,0,10,ybl,1,0,14,0,190,1
ctwysv571@ibl,Paytm Cashback,1858,1,3,13,ibl,1,0,12,0,249,1
ymqjorfzvx582@axl,Amazon Support,494,1,3,17,axl,1,0,0,0,700,1
opbbuc142@ybl,Mega Electronics,2891,0,3,13,ybl,0,0,13,1,965,0
gdbxhqjw245@axl,Smart Fashion,3168,0,3,15,axl,0,0,6,0,754,0
demgy@okicici,City Bakers,752,0,0,13,okicici,0,0,6,0,968,0
rcvmx535@okicici,Smart Fashion,3381,0,3,16,okicici,0,0,14,1,610,0
cifefx@axl,Mega Electronics,3098,0,0,10,axl,0,0,9,0,781,0
kvhosqz@ibl,PhonePe Help,3439,1,0,11,ibl,1,0,0,0,427,1
shyhd@paytm,Online Offer,2175,1,0,11,paytm,0,0,12,1,571,1
ahnrx@okicici,Green Grocery,1203,0,0,13,okicici,0,0,12,0,773,0
tksaepk@ibl,Smart Fashion,1314,0,0,11,ibl,0,0,5,0,449,0
qmmcov669@okicici,Quick Recharge,3261,0,3,17,okicici,0,0,2,0,447,0
tfbtmc@ybl,Amazon Support,2961,1,0,10,ybl,1,0,10,1,50,1
iqrpss@axl,Fresh Mart,3862,0,0,10,axl,0,0,8,0,406,0
igoqh@okaxis,Smart Fashion,4126,0,0,12,okaxis,0,0,6,0,102,0
glgutx@paytm,Smart Fashion,3147,0,0,12,paytm,0,0,11,1,295,0
jhreanrdt475@okicici,Mega Electronics,4579,0,3,20,okicici,0,0,11,0,798,0
bbnab@axl,Quick Recharge,3295,0,0,9,axl,0,0,14,1,988,0
hhwobhnb@okicici,Mega Electronics,1570,0,0,16,okicici,0,0,3,0,21,0
cucsafs@axl,Daily Needs,1473,0,0,11,axl,0,0,7,0,181,0
tezmbvmbi275@paytm,Urban Foods,4750,0,3,18,paytm,0,0,3,0,153,0
